,open,high,low,close,volume,vwap,timestamp,transactions,otc
0,73.11,75.27,72.92,75.23,52625893.0,74.1779,1646370000000,316562,
1,76.01,77.56,74.635,76.34,65554161.0,76.058,1646629200000,475571,
2,78.08,80.22,75.33,77.54,97922181.0,78.0203,1646715600000,637755,
3,74.7,76.94,73.5,75.17,87018243.0,75.3873,1646802000000,610422,
4,76.06,77.665,75.52,77.47,68901344.0,76.7414,1646888400000,470694,
5,76.23,77.81,76.11,76.85,45918864.0,77.0694,1646974800000,342848,
6,75.21,75.74,73.55,74.55,50745013.0,74.4582,1647230400000,362551,
7,71.66,72.65,70.44,71.82,62362196.0,71.6887,1647316800000,416012,
8,72.09,72.72,70.74,71.49,53768064.0,71.6453,1647403200000,332900,
9,72.76,74.135,72.3089,73.95,38478153.0,73.3676,1647489600000,268990,
10,73.82,74.38,73.3209,73.88,29075387.0,73.8545,1647576000000,204299,
11,74.66,76.37,74.62,76.13,34357426.0,75.7915,1647835200000,248606,
12,75.81,76.23,74.71,75.57,33231054.0,75.5091,1647921600000,216725,
13,76.99,77.58,76.62,76.87,29331529.0,77.0687,1648008000000,199412,
14,77.16,77.82,76.545,77.06,26350284.0,77.233,1648094400000,180030,
15,76.6,78.85,76.535,78.75,28049621.0,78.1651,1648180800000,189357,
16,77.13,77.16,76.305,76.8,34880188.0,76.7206,1648440000000,238220,
17,75.08,76.64,74.19,76.6,36636968.0,75.5717,1648526400000,237509,
18,77.34,78.04,76.8571,77.49,24868234.0,77.3482,1648612800000,198999,
19,76.76,78.21,76.43,76.44,32803294.0,77.4407,1648699200000,223901,
20,76.34,77.775,76.29,77.06,24806291.0,77.0632,1648785600000,174345,
21,77.56,77.81,76.34,77.16,23003669.0,76.9004,1649044800000,166214,
22,77.3,78.49,75.86,75.95,27288559.0,76.9705,1649131200000,179357,
23,76.78,77.47,75.975,76.4,32150686.0,76.631,1649217600000,204919,
24,76.76,77.66,75.34,77.4,27048693.0,76.4702,1649304000000,176981,
25,77.61,79.75,77.61,79.53,26713051.0,79.0935,1649390400000,171475,
26,78.68,78.7,76.965,77.14,26230495.0,77.5865,1649649600000,176303,
27,78.7,79.85,78.265,78.42,31964711.0,79.1194,1649736000000,193321,
28,79.38,79.81,78.07,79.59,24647942.0,79.208,1649822400000,158070,
29,79.21,80.48,79.09,79.85,25934716.0,79.8802,1649908800000,162206,
30,80.51,81.5,80.01,81.02,30456565.0,80.9062,1650254400000,175480,
31,80.6,81.39,79.89,80.36,22863926.0,80.6504,1650340800000,162317,
32,80.57,81.1,79.792,80.67,26039656.0,80.4752,1650427200000,174215,
33,81.15,81.51,77.81,78.11,32578853.0,79.4941,1650513600000,214735,
34,77.8,78.915,76.165,76.2,35742137.0,77.1877,1650600000000,237992,
35,73.8,74.075,71.0,73.68,55362197.0,72.7432,1650859200000,350738,
36,74.23,75.8,73.59,73.78,44584346.0,74.5421,1650945600000,287565,
37,74.25,75.59,72.92,74.86,44566257.0,74.687,1651032000000,285151,
38,75.36,77.76,73.88,77.13,43734848.0,75.9571,1651118400000,238124,
39,77.3,77.74,74.88,75.15,39708120.0,76.1788,1651204800000,256210,
40,74.69,76.38,74.46,76.35,52070620.0,75.5142,1651464000000,294192,
41,76.49,78.85,76.44,78.49,41649436.0,78.0336,1651550400000,227999,
42,80.0,81.915,78.98,81.75,45383728.0,80.1689,1651636800000,270126,
43,82.33,82.41,78.875,80.52,46596959.0,80.5915,1651723200000,338530,
44,81.56,82.9299,79.925,82.92,47122824.0,81.8645,1651809600000,319295,
45,81.14,81.21,75.75,76.06,53021957.0,77.6893,1652068800000,404496,
46,77.23,78.69,75.13,76.75,56863902.0,76.7929,1652155200000,417431,
47,78.03,80.33,77.65,77.78,49852542.0,78.8375,1652241600000,378251,
48,77.75,78.15,75.6799,78.11,45021768.0,77.0831,1652328000000,330511,
49,79.27,81.1,79.13,80.78,29718696.0,80.4482,1652414400000,222253,
50,81.07,83.76,81.02,82.91,28259397.0,82.9021,1652673600000,213722,
51,84.03,84.3784,83.12,83.87,28164650.0,83.8053,1652760000000,203329,
52,84.47,84.57,80.735,81.72,33214486.0,82.2274,1652846400000,254514,
